orientation,household,decoration,residence_id,unit_price,house_type,property_type,residence_url,house_owner,mortgage,area,elevator,build_type,heating_style,structure,lj_num,total_floor,crawl_time,listing_date,last_deal,house_backup,inner_area,total_price,build_struct,ring_num,url,house_age,floor,house_type_struct
南,四梯二十户,其他,0,13012,商住两用,商品房,https://wh.lianjia.com/xiaoqu/3711057215624/,暂无数据,暂无数据,51.03㎡,有,塔楼,,1室0厅1厨1卫,104100615694,28,2017-09-22 14:37:22,2017-09-21,暂无数据,未上传房本照片,暂无数据,66.4,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100615694.html,暂无数据,中楼层,暂无数据
北,四梯二十户,其他,0,14346,商住两用,商品房,https://wh.lianjia.com/xiaoqu/3711057215624/,暂无数据,暂无数据,52㎡,有,塔楼,,1室0厅1厨1卫,104100615764,28,2017-09-22 14:37:22,2017-09-21,暂无数据,未上传房本照片,暂无数据,74.6,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100615764.html,暂无数据,中楼层,暂无数据
南 北,一梯两户,精装,0,18235,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/457009157262721/,非共有,无抵押,85㎡,无,板楼,自供暖,2室1厅1厨1卫,103101749736,6,2017-09-22 14:37:24,2017-09-22,暂无数据,未上传房本照片,暂无数据,155,钢混结构, ,https://jn.lianjia.com/ershoufang/103101749736.html,暂无数据,中楼层,暂无数据
