orientation,household,decoration,residence_id,unit_price,house_type,property_type,residence_url,house_owner,mortgage,area,elevator,build_type,heating_style,structure,lj_num,total_floor,crawl_time,listing_date,last_deal,house_backup,inner_area,total_price,build_struct,ring_num,url,house_age,floor,house_type_struct
南,一梯两户,其他,0,12692,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/379530270035032/,暂无数据,暂无数据,130㎡,暂无数据,板楼,,3室2厅1厨2卫,104100620291,10,2017-09-24 22:38:44,2017-09-23,暂无数据,未上传房本照片,暂无数据,165,钢混结构, 三至四环,https://wh.lianjia.com/ershoufang/104100620291.html,暂无数据,低楼层,暂无数据
南,两梯三户,其他,0,11946,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711063107462/,暂无数据,暂无数据,92.08㎡,有,板楼,,2室1厅1厨1卫,104100620292,18,2017-09-24 22:38:45,2017-09-23,暂无数据,未上传房本照片,暂无数据,110,钢混结构, 三至四环,https://wh.lianjia.com/ershoufang/104100620292.html,暂无数据,高楼层,平层
南,一梯四户,其他,0,13696,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056977058/,暂无数据,暂无数据,92㎡,暂无数据,塔楼,,2室2厅1厨1卫,104100620512,32,2017-09-24 22:38:46,2017-09-24,暂无数据,未上传房本照片,暂无数据,126,钢混结构, 三至四环,https://wh.lianjia.com/ershoufang/104100620512.html,暂无数据,中楼层,暂无数据
南 北,两梯四户,其他,0,12688,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711057207452/,暂无数据,暂无数据,93㎡,有,板楼,,2室2厅1厨1卫,104100620543,32,2017-09-24 22:38:46,2017-09-24,暂无数据,未上传房本照片,暂无数据,118,钢混结构, 三至四环,https://wh.lianjia.com/ershoufang/104100620543.html,暂无数据,高楼层,暂无数据
南 北,一梯四户,其他,0,11798,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711059396589/,非共有,暂无数据,93.24㎡,暂无数据,塔楼,,2室2厅1厨1卫,104100620860,23,2017-09-24 22:38:47,2017-09-24,2017-05-03,已上传房本照片,74.08㎡,110,钢混结构, 三至四环,https://wh.lianjia.com/ershoufang/104100620860.html,暂无数据,高楼层,暂无数据
南,两梯四户,其他,0,13810,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711058844727/,暂无数据,暂无数据,105㎡,有,板楼,,2室2厅1厨1卫,104100621562,26,2017-09-24 22:38:47,2017-09-24,暂无数据,未上传房本照片,暂无数据,145,钢混结构, 三至四环,https://wh.lianjia.com/ershoufang/104100621562.html,暂无数据,中楼层,暂无数据
南 北,暂无数据,其他,0,12832,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711056977829/,暂无数据,暂无数据,113㎡,暂无数据,暂无数据,,3室2厅1厨1卫,104100620962,10,2017-09-24 22:38:47,2017-09-24,暂无数据,未上传房本照片,暂无数据,145,未知结构, 三至四环,https://wh.lianjia.com/ershoufang/104100620962.html,暂无数据,中楼层,暂无数据
南,两梯四户,其他,0,15179,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711058844727/,暂无数据,暂无数据,88.94㎡,有,板楼,,4室2厅1厨1卫,104100621657,26,2017-09-24 22:38:48,2017-09-24,暂无数据,未上传房本照片,暂无数据,135,钢混结构, 三至四环,https://wh.lianjia.com/ershoufang/104100621657.html,暂无数据,高楼层,暂无数据
南,两梯四户,其他,0,12366,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711099428200/,暂无数据,暂无数据,93㎡,有,板楼,,2室2厅1厨1卫,104100621502,34,2017-09-24 22:38:48,2017-09-24,暂无数据,未上传房本照片,暂无数据,115,钢混结构, 三至四环,https://wh.lianjia.com/ershoufang/104100621502.html,暂无数据,中楼层,平层
南 北,三梯八户,其他,0,20225,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/377214193717144/,暂无数据,暂无数据,89㎡,有,板楼,,2室2厅1厨1卫,104100621662,30,2017-09-24 22:38:49,2017-09-24,暂无数据,未上传房本照片,暂无数据,180,钢混结构, 三至四环,https://wh.lianjia.com/ershoufang/104100621662.html,暂无数据,高楼层,暂无数据
南 北,两梯三户,简装,0,32010,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/377899199319137/,共有,无抵押,133.71㎡,有,板楼,,3室2厅1厨2卫,104100620062,23,2017-09-24 22:38:49,2017-09-23,暂无数据,未上传房本照片,暂无数据,428,钢混结构, 一至二环,https://wh.lianjia.com/ershoufang/104100620062.html,暂无数据,中楼层,暂无数据
南,两梯四户,其他,0,12229,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711099428200/,暂无数据,暂无数据,89.95㎡,有,板楼,,2室1厅1厨1卫,104100619972,34,2017-09-24 22:38:50,2017-09-23,暂无数据,未上传房本照片,暂无数据,110,钢混结构, 三至四环,https://wh.lianjia.com/ershoufang/104100619972.html,暂无数据,高楼层,平层
南 北,一梯两户,精装,0,15741,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/4511058373034/,非共有,有抵押 60万元,108㎡,无,板楼,自供暖,3室2厅1厨1卫,103101755843,6,2017-09-24 22:38:53,2017-09-24,暂无数据,未上传房本照片,暂无数据,170,钢混结构, ,https://jn.lianjia.com/ershoufang/103101755843.html,暂无数据,中楼层,暂无数据
南,一梯两户,简装,0,18035,普通住宅,商品房,https://jn.lianjia.com/xiaoqu/4511057917481/,非共有,暂无数据,126.42㎡,无,板楼,集中供暖,3室2厅1厨2卫,103101756280,7,2017-09-24 22:38:53,2017-09-24,2013-10-22,已上传房本照片,112.31㎡,228,钢混结构, ,https://jn.lianjia.com/ershoufang/103101756280.html,满两年,中楼层,暂无数据
南,两梯三户,其他,0,11946,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711063107462/,暂无数据,暂无数据,92.08㎡,有,板楼,,2室1厅1厨1卫,104100620293,18,2017-09-24 22:38:54,2017-09-23,暂无数据,未上传房本照片,暂无数据,110,钢混结构, 三至四环,https://wh.lianjia.com/ershoufang/104100620293.html,暂无数据,高楼层,平层
南,三梯八户,其他,0,16292,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/377214193717144/,暂无数据,暂无数据,89㎡,有,塔楼,,2室2厅1厨1卫,104100620167,27,2017-09-24 22:38:56,2017-09-23,暂无数据,未上传房本照片,暂无数据,145,钢混结构, 三至四环,https://wh.lianjia.com/ershoufang/104100620167.html,暂无数据,低楼层,暂无数据
南 北,一梯三户,其他,0,16071,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/4511058367192/,非共有,暂无数据,67.2㎡,无,板楼,集中供暖,2室1厅1厨1卫,103101753119,5,2017-09-24 22:38:56,2017-09-23,2011-04-29,已上传房本照片,61.09㎡,108,砖混结构, ,https://jn.lianjia.com/ershoufang/103101753119.html,满五年,中楼层,暂无数据
南 北,一梯四户,其他,0,11937,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3711058801761/,暂无数据,暂无数据,104.72㎡,暂无数据,板楼,,2室2厅1厨1卫,104100620258,12,2017-09-24 22:38:57,2017-09-23,暂无数据,未上传房本照片,暂无数据,125,钢混结构, 三至四环,https://wh.lianjia.com/ershoufang/104100620258.html,暂无数据,中楼层,复式
南 北,一梯两户,其他,0,15329,普通住宅,已购公房,https://jn.lianjia.com/xiaoqu/4511058362221/,暂无数据,暂无数据,83.5㎡,暂无数据,板楼,集中供暖,2室2厅1厨1卫,103101755126,6,2017-09-24 22:38:57,2017-09-24,暂无数据,未上传房本照片,暂无数据,128,钢混结构, 二环内,https://jn.lianjia.com/ershoufang/103101755126.html,暂无数据,低楼层,暂无数据
南,一梯四户,其他,0,14943,普通住宅,商品房,https://wh.lianjia.com/xiaoqu/3710746197454770/,暂无数据,暂无数据,87㎡,暂无数据,板楼,,2室2厅1厨1卫,104100618264,33,2017-09-24 22:39:03,2017-09-22,暂无数据,未上传房本照片,暂无数据,130,钢混结构, 三至四环,https://wh.lianjia.com/ershoufang/104100618264.html,暂无数据,低楼层,平层
南 北,,其他,0,26943,别墅,商品房,https://wh.lianjia.com/xiaoqu/3711056977829/,暂无数据,暂无数据,193㎡,,,,5室3厅1厨3卫,104100617813,3,2017-09-24 22:39:04,2017-09-22,暂无数据,未上传房本照片,暂无数据,520,未知结构, 三至四环,https://wh.lianjia.com/ershoufang/104100617813.html,暂无数据,低楼层,
